title,year,country,director,actor_1,actor_2,ratingKP
Замуж на 2 дня,2012,Франция,Паскаль Шомель,Дайан Крюгер,Дэни Бун,6.803
Обитель зла: Раккун-Сити,2021,Канада,Йоханнес Робертс,Кая Скоделарио,Ханна Джон-Кэймен,5.402
Бетховен 2,1993,США,Род Дэниэл,Чарльз Гродин,Бонни Хант,6.837
Особо опасны,2012,США,Оливер Стоун,Тейлор Китч,Блейк Лайвли,6.675
Я остаюсь,2006,Россия,Карен Оганесян,Андрей Краско,Фёдор Бондарчук,7.679
Мы из будущего 2,2010,Россия,Александр Самохвалов,Игорь Петренко,Владимир Яглыч,5.643
Погоня,2011,США,Джон Синглтон,Тейлор Лотнер,Лили Коллинз,5.902
Рэмбо: Первая кровь 2,1985,США,Джордж П. Косматос,Сильвестр Сталлоне,Ричард Кренна,6.677
CODA: Ребенок глухих родителей,2020,Франция,Шан Хейдер,Эмилия Джонс,Эухенио Дербес,8.012
Звонок 2,2005,США,Хидэо Наката,Наоми Уоттс,Саймон Бейкер,6.304
Джонни Мнемоник,1995,Канада,Роберт Лонго,Киану Ривз,Дина Мейер,6.844
Отпетые напарники,2015,Китай,Ренни Харлин,Джеки Чан,Джонни Ноксвил,6.238
Дальняя дорога,2015,США,Джордж Тиллман мл.,Скотт Иствуд,Бритт Робертсон,7.416
Флирт с дьяволом,2021,США,Луис Прието,Камерон Монахэн,Фрэнк Грилло,6.02
Скорый «Москва-Россия»,2014,Россия,Игорь Волошин,Сергей Светлаков,Маргарита Левиева,3.78
Код 8,2019,Канада,Джефф Чан,Робби Амелл,Стивен Амелл,6.284
Последний бойскаут,1991,США,Тони Скотт,Брюс Уиллис,Дэймон Уайанс,7.668
За бортом,2018,США,Роб Гринберг,Эухенио Дербес,Анна Фэрис,6.33
Патрик,2018,Великобритания,Мэнди Флетчер,Битти Эдмондсон,Эд Скрейн,6.893
Общага,2020,Россия,Роман Васьянов,Геннадий Вырыпаев,Ирина Старшенбаум,6.629
Высотка,2015,Великобритания,Бен Уитли,Том Хиддлстон,Сиенна Миллер,5.652
Скуби-Ду,2002,США,Раджа Госнелл,Фредди Принц мл.,Сара Мишель Геллар,5.935
Вторжение,2007,США,Оливер Хиршбигель,Николь Кидман,Дэниэл Крэйг,6.57
Разборка в Бронксе,1995,Гонконг,Стэнли Тун,Джеки Чан,Анита Муи,7.685
Прогулка,2003,Россия,Алексей Учитель,Ирина Пегова,Павел Баршак,7.676
Малыш,1921,США,Чарльз Чаплин,Чарльз Чаплин,Джеки Кугэн,8.245
Коробка,2015,Россия,Эдуард Бордуков,Сергей Романович,Сергей Подольный,6.883
Вирус,2013,Корея,Ким Сон-су,Чан Хёк,Суэ,6.802
Дружба и никакого секса?,2013,Канада,Майкл Даус,Дэниэл Рэдклифф,Зои Казан,6.591
Бригада: Наследник,2012,Россия,Денис Алексеев,Иван Макаревич,Екатерина Гусева,2.599
Монте-Карло,2011,США,Томас Безуча,Селена Гомес,Лейтон Мистер,6.521
Шоколад,2015,Франция,Рошди Зем,Омар Си,Джеймс Тьерре,7.249
Обитаемый остров: Схватка,2009,Россия,Фёдор Бондарчук,Василий Степанов,Гоша Куценко,4.134
Супергеройское кино,2008,США,Крэйг Мэйзин,Дрейк Белл,Сара Пэкстон,5.027
Операция «Колибри»,2018,Канада,Ким Нгуен,Джесси Айзенберг,Александр Скарсгард,6.597
Закусочная на колесах,1984,Гонконг,Саммо Хун,Джеки Чан,Юэнь Бяо,7.797
Хэллоуин,1978,США,Джон Карпентер,Дональд Плезенс,Джейми Ли Кёртис,7.038
Завтрак у папы,2015,Россия,Мария Кравченко,Юрий Колокольников,Катерина Шпица,6.386
Друг невесты,2008,США,Пол Вейланд,Патрик Демпси,Мишель Монахэн,6.958
Белорусский вокзал,1970,СССР,Андрей Смирнов,Евгений Леонов,Анатолий Папанов,8.205
Хорошее время,2017,США,Бенни Сэфди,Роберт Паттинсон,Бенни Сэфди,6.894
"Куда ты пропала, Бернадетт?",2019,США,Ричард Линклейтер,Кейт Бланшетт,Билли Крудап,7.2
Шакал,1997,США,Майкл Кейтон-Джонс,Брюс Уиллис,Ричард Гир,7.373
Пункт назначения: Смайл,2019,США,Ларс Клевберг,Кэтрин Прескотт,Тайлер Янг,5.26
Тройная граница,2019,США,Джей Си Чендор,Оскар Айзек,Чарли Ханнэм,6.539
Бой с тенью 2: Реванш,2007,Россия,Антон Мегердичев,Денис Никифоров,Андрей Панин,6.236
Внутри Льюина Дэвиса,2012,США,Итан Коэн,Оскар Айзек,Кэри Маллиган,6.96
Богатенький Ричи,1994,США,Дональд Питри,Маколей Калкин,Джон Ларрокетт,6.595
Гений,1991,СССР,Виктор Сергеев,Александр Абдулов,Иннокентий Смоктуновский,7.95
Адский ад,2020,Австралия,Алистер Грирсон,Бен О’Тул,Мэг Фрэйзер,6.782
Китобой,2020,Россия,Филипп Юрьев,Владимир Онохов,Кристина Асмус,6.365
Жить,2011,Россия,Василий Сигарев,Яна Троянова,Алексей Филимонов,7.441
Шпионы по соседству,2016,США,Грег Моттола,Зак Галифианакис,Айла Фишер,5.939
Это всего лишь конец света,2016,Канада,Ксавье Долан,Натали Бай,Венсан Кассель,7.133
Смерть во время похорон,2007,США,Фрэнк Оз,Мэттью Макфэдиен,Руперт Грейвз,7.026
Экстремальная работа,2019,Корея,Ли Бён-хон,Рю Сын-нён,Ли Ха-ни,7.219
"Умри, но не сейчас",2002,Великобритания,Ли Тамахори,Пирс Броснан,Холли Берри,7.003
Аксель,2017,США,Оливер Дэйли,Алекс Нюстадтер,Бекки Джи,5.622
Зоя,2020,Россия,Максим Бриус,Анастасия Мишина,Александр Вонтов,4.183
Голем,2016,Великобритания,Хуан Карлос Медина,Билл Найи,Оливия Кук,6.425
Роковая красотка,2006,Франция,Пьер Сальвадори,Одри Тоту,Гад Эльмалех,7.435
Ничего себе каникулы!,2018,Франция,Патрик Кассир,Джонатан Коэн,Камиль Шаму,6.234
Виновный,2021,США,Антуан Фукуа,Джейк Джилленхол,Райли Кио,6.495
Ураган,1999,США,Норман Джуисон,Дензел Вашингтон,Виселос Реон Шеннон,7.949
Вердикт за деньги,2003,США,Гэри Фледер,Джон Кьюсак,Джин Хэкмен,7.705
Любовь сквозь время,2014,США,Акива Голдсман,Колин Фаррелл,Джессика Браун-Финдли,6.532
Жандарм из Сен-Тропе,1964,Франция,Жан Жиро,Луи де Фюнес,Женевьев Град,7.953
"Нью-Йорк, я люблю тебя",2008,США,Фатих Акин,Натали Портман,Брэдли Купер,7.019
Будьте моим мужем,1981,СССР,Алла Сурикова,Елена Проклова,Андрей Миронов,7.67
Снегоуборщик,2019,Великобритания,Ханс Петтер Муланд,Лиам Нисон,Лора Дерн,6.144
"Черная кошка, белый кот",1998,Франция,Эмир Кустурица,Байрам Севердзан,Срджан Тодорович,7.981
Убить пересмешника,1962,США,Роберт Маллиган,Грегори Пек,Мэри Бэдам,8.022
Тёмный город,1998,Австралия,Алекс Пройас,Руфус Сьюэлл,Уильям Хёрт,7.321
Суспирия,2018,Италия,Лука Гуаданьино,Дакота Джонсон,Тильда Суинтон,6.552
Танго и Кэш,1989,США,Андрей Кончаловский,Сильвестр Сталлоне,Курт Рассел,7.275
Ю-571,2000,США,Джонатан Мостоу,Мэттью МакКонахи,Билл Пэкстон,7.393
Если свекровь – монстр…,2005,США,Роберт Лукетич,Дженнифер Лопес,Джейн Фонда,6.72
Финансовый монстр,2016,США,Джоди Фостер,Джордж Клуни,Джулия Робертс,6.706
Страшилы,1996,Новая,Питер Джексон,Майкл Дж. Фокс,Трини Альварадо,7.642
Смерч,1996,США,Ян де Бонт,Хелен Хант,Билл Пэкстон,7.222
Шестой элемент,2000,Канада,Аллан А. Голдштейн,Лесли Нильсен,Офелия Винтер,5.938
Контрабанда,2011,США,Бальтасар Кормакур,Марк Уолберг,Кейт Бекинсейл,6.912
Ультрафиолет,2006,США,Курт Уиммер,Милла Йовович,Камерон Брайт,4.87
Ребенок Розмари,1968,США,Роман Полански,Миа Фэрроу,Джон Кассаветис,7.668
Техасская резня бензопилой,2003,США,Маркус Ниспел,Джессика Бил,Джонатан Такер,6.56
"Окей, Лекси!",2019,США,Джон Лукас,Адам Дивайн,Александра Шипп,6.239
Кэрол,2014,Великобритания,Тодд Хейнс,Кейт Бланшетт,Руни Мара,6.843
Липучка,2011,Германия,Роб Минкофф,Патрик Демпси,Эшли Джадд,6.924
Дж. Эдгар,2011,США,Клинт Иствуд,Леонардо ДиКаприо,Арми Хаммер,6.682
Ёлки лохматые,2014,Россия,Максим Свешников,Андрей Мерзликин,Ян Цапник,5.077
Мачете убивает,2013,США,Роберт Родригес,Дэнни Трехо,Мишель Родригес,5.752
Дублёр,2012,Россия,Евгений Абызов,Александр Ревва,Кристина Асмус,5.152
Двойной КОПец,2010,США,Кевин Смит,Брюс Уиллис,Трэйси Морган,6.032
Род мужской,2022,Великобритания,Алекс Гарленд,Джесси Бакли,Рори Киннер,5.813
День радио,2003,Россия,Сергей Петрейков,Леонид Барац,Ростислав Хаит,7.997
"На Дерибасовской хорошая погода, или На Брайтон-Бич опять идут дожди",1992,Россия,Леонид Гайдай,Дмитрий Харатьян,Келли МакГрилл,6.963
Несколько хороших парней,1992,США,Роб Райнер,Том Круз,Деми Мур,7.837
Не бойся темноты,2010,США,Трой Никси,Бэйли Мэдисон,Кэти Холмс,5.911
Толстяк на ринге,2012,США,Фрэнк Корачи,Кевин Джеймс,Сальма Хайек,6.952
Поехавшая,2023,Россия,Антон Маслов,Ольга Лерман,такса Таисия,7.8
22 минуты,2014,Россия,Василий Сериков,Макар Запорожский,Денис Никифоров,6.297
Три орешка для Золушки,1973,Чехословакия,Вацлав Ворличек,Либуше Шафранкова,Павел Травничек,8.083
Кококо,2012,Россия,Авдотья Смирнова,Анна Михалкова,Яна Троянова,6.899
Чародейка,2018,Дания,Каспар Мунк,Герда Ли Каас,Соня Рихтер,5.889
Час истины,2020,США,Питер Фачинелли,Энн Хеч,Томас Джейн,6.629
Волчок,2009,Россия,Василий Сигарев,Полина Плучек,Яна Троянова,6.981
Статус: Обновлен,2018,Канада,Скотт Спир,Росс Линч,Оливия Холт,6.273
Искусственный интеллект,2020,США,Бен Фэлкоун,Мелисса Маккарти,Джеймс Корден,6.492
Интервью,2014,США,Сет Роген,Джеймс Франко,Сет Роген,6.118
Палмер,2020,США,Фишер Стивенс,Джастин Тимберлейк,Райдер Аллен,7.183
Лето 1941 года,2022,Казахстан,Бекболат Шекеров,Азамат Нигманов,Андрей Олиференко,7.33
Статус: Свободен,2015,Россия,Павел Руминов,Данила Козловский,Елизавета Боярская,5.85
Большая свадьба,2013,США,Джастин Закэм,Роберт Де Ниро,Дайан Китон,6.042
Полный облом,2006,Великобритания,Жан-Батист Андреа,Дэвид Швиммер,Саймон Пегг,7.225
Национальная безопасность,2003,США,Деннис Дуган,Мартин Лоуренс,Стив Зан,7.015
Паранойя,2013,США,Роберт Лукетич,Лиам Хемсворт,Гари Олдман,6.131
Уличные танцы 3D,2010,Великобритания,Макс Джива,Никола Берли,Ричард Уинзор,6.814
Пи,1997,США,Даррен Аронофски,Шон Гуллет,Марк Марголис,7.511
Тяжёлая поездка,2018,Финляндия,Юусо Лаатио,Йоханнес Холопайнен,Самули Яскио,7.217
Высокий блондин в черном ботинке,1972,Франция,Ив Робер,Пьер Ришар,Бернар Блие,7.769
Не лечи меня,2020,Россия,Миша Маралес,Иван Янковский,Лукерья Ильяшенко,6.528
Запределье,2006,США,Тарсем Сингх,Ли Пейс,Катинка Унтару,7.634
Абсолютная власть,2016,США,Даниэль Рагуссис,Дэниэл Рэдклифф,Тони Коллетт,6.312
Кролик Питер 2,2020,США,Уилл Глак,Джеймс Корден,Роуз Бирн,7.391
Страховщик,2014,Испания,Габе Ибаньес,Антонио Бандерас,Дилан МакДермотт,5.868
Перед рассветом,1995,США,Ричард Линклейтер,Итан Хоук,Жюли Дельпи,7.959
Гудзонский ястреб,1991,США,Майкл Леманн,Брюс Уиллис,Дэнни Айелло,7.125
Чем дальше в лес...,2014,США,Роб Маршалл,Мэрил Стрип,Эмили Блант,5.919
Прирожденные убийцы,1994,США,Оливер Стоун,Вуди Харрельсон,Джульетт Льюис,7.446
Знакомьтесь: Дэйв,2008,США,Брайан Роббинс,Эдди Мерфи,Элизабет Бэнкс,6.08
Одиноким предоставляется общежитие,1983,СССР,Самсон Самсонов,Наталья Гундарева,Александр Михайлов,7.813
Охотник на лис,2014,США,Беннетт Миллер,Стив Карелл,Ченнинг Татум,6.523
Шахматист,2019,Франция,Пьер-Франсуа Мартен-Лаваль,Ассад Ахмед,Жерар Депардье,7.578
Бабло,2011,Россия,Константин Буслов,Роман Мадянов,Яков Кучеревский,6.59
Няньки,2012,Россия,Ашот Кещян,Николай Наумов,Арарат Кещян,4.962
Выход через сувенирную лавку,2010,Великобритания,Бэнкси,Бэнкси,Мистер Брэйнуош,7.86
Цвет из иных миров,2019,США,Ричард Стэнли,Николас Кейдж,Джоэли Ричардсон,5.967
Гражданин Кейн,1941,США,Орсон Уэллс,Орсон Уэллс,Джозеф Коттен,7.764
Как женить холостяка,2018,США,Виктор Левин,Вайнона Райдер,Киану Ривз,6.065
Прекрасные создания,2013,США,Ричард ЛаГравенес,Элис Энглерт,Джереми Айронс,5.94
Край,2010,Россия,Алексей Учитель,Владимир Машков,Аньорка Штрехель,6.433
